#KOD_MWE;MWE_0984657_46T0666
DATA I CZAS OD;PPLAN;PAUTO
22-08-2025 00:00;0,000;0,000
22-08-2025 01:00;0,000;0,000
22-08-2025 02:00;0,000;0,000
22-08-2025 03:00;0,000;0,000
22-08-2025 04:00;0,000;0,000
22-08-2025 05:00;0,000;0,000
22-08-2025 06:00;0,006;0,002
22-08-2025 07:00;0,030;0,026
22-08-2025 08:00;0,072;0,068
22-08-2025 09:00;0,118;0,114
22-08-2025 10:00;0,150;0,146
22-08-2025 11:00;0,158;0,154
22-08-2025 12:00;0,176;0,172
22-08-2025 13:00;0,118;0,114
22-08-2025 14:00;0,112;0,108
22-08-2025 15:00;0,096;0,092
22-08-2025 16:00;0,058;0,054
22-08-2025 17:00;0,036;0,032
22-08-2025 18:00;0,014;0,010
22-08-2025 19:00;0,006;0,002
22-08-2025 20:00;0,000;0,000
22-08-2025 21:00;0,000;0,000
22-08-2025 22:00;0,000;0,000
22-08-2025 23:00;0,000;0,000
23-08-2025 00:00;0,000;0,000
23-08-2025 01:00;0,000;0,000
23-08-2025 02:00;0,000;0,000
23-08-2025 03:00;0,000;0,000
23-08-2025 04:00;0,000;0,000
23-08-2025 05:00;0,000;0,000
23-08-2025 06:00;0,008;0,004
23-08-2025 07:00;0,034;0,030
23-08-2025 08:00;0,062;0,058
23-08-2025 09:00;0,088;0,084
23-08-2025 10:00;0,128;0,124
23-08-2025 11:00;0,144;0,140
23-08-2025 12:00;0,156;0,152
23-08-2025 13:00;0,140;0,136
23-08-2025 14:00;0,150;0,146
23-08-2025 15:00;0,110;0,106
23-08-2025 16:00;0,078;0,074
23-08-2025 17:00;0,050;0,046
23-08-2025 18:00;0,032;0,028
23-08-2025 19:00;0,006;0,002
23-08-2025 20:00;0,000;0,000
23-08-2025 21:00;0,000;0,000
23-08-2025 22:00;0,000;0,000
23-08-2025 23:00;0,000;0,000